#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,22,"Shiba Inu
SHIB



Buy",$0.00,0.25%,3.79%,6.07%,"$7,018,111,214","$191,248,291
16.05T",589.24T SHIB
,23,"Toncoin
TON



Buy",$2.71,0.47%,2.02%,4.23%,"$6,847,466,954","$153,025,686
56.29M",2.51B TON
,24,"Cronos
CRO



Buy",$0.19,0.17%,3.13%,12.30%,"$6,721,967,099","$44,890,268
232.82M",34.86B CRO
,25,"Polkadot
DOT



Buy",$4.03,0.21%,4.35%,6.58%,"$6,566,428,214","$298,232,442
73.78M",1.62B DOT
,26,"Monero
XMR



Buy",$333.32,0.28%,0.30%,0.70%,"$6,148,829,956","$224,924,555
674.78K",18.44M XMR
,27,"Dai
DAI



Buy",$1.00,0.02%,0.00%,0.01%,"$5,364,344,285","$177,389,767
177.42M",5.36B DAI
,28,"Uniswap
UNI



Buy",$7.76,0.44%,3.40%,7.00%,"$4,897,509,275","$259,053,299
33.32M",630.33M UNI
,29,"World Liberty Financial
WLFI



Buy",$0.18,0.31%,4.92%,14.29%,"$4,382,544,573","$258,170,930
1.44B",24.61B WLFI
,30,"OKB
OKB



Buy",$207.28,0.04%,7.22%,7.80%,"$4,353,072,346","$226,215,869
1.09M",21M OKB
,31,"Aave
AAVE



Buy",$272.83,0.16%,3.81%,6.94%,"$4,161,671,141","$365,069,353
1.33M",15.25M AAVE
,32,"Bitget Token
BGB



Buy",$5.65,0.04%,0.54%,7.20%,"$3,940,429,689","$467,558,634
82.65M",696.57M BGB
,33,"Ethena
ENA



Buy",$0.55,0.09%,4.73%,14.59%,"$3,916,194,466","$349,939,487
635.58M",7.15B ENA
,34,"Pepe
PEPE



Buy",$0.06,0.32%,4.57%,10.40%,"$3,852,901,596","$506,150,404
55.09T",420.68T PEPE
,35,"NEAR Protocol
NEAR



Buy",$2.86,0.20%,4.56%,3.12%,"$3,577,539,272","$305,480,007
106.47M",1.24B NEAR
,36,"Aptos
APT



Buy",$5.01,0.17%,4.02%,3.18%,"$3,532,188,411","$245,097,817
49.02M",704.71M APT
,37,"Zcash
ZEC



Buy",$215.11,0.95%,22.85%,65.38%,"$3,496,558,489","$994,522,871
4.64M",16.25M ZEC
,38,"Bittensor
TAO



Buy",$339.03,0.11%,0.07%,4.56%,"$3,408,318,109","$124,427,067
371.47K",10.05M TAO
,39,"Ethereum Classic
ETC



Buy",$19.01,0.27%,3.68%,4.82%,"$2,924,933,571","$135,180,589
7.11M",153.84M ETC
,40,"Aster
ASTER



Buy",$1.70,1.55%,14.27%,6.30%,"$2,892,039,295","$1,424,630,019
836.45M",1.69B ASTER
,41,"Story
IP



Buy",$8.87,0.13%,4.28%,3.20%,"$2,787,497,808","$85,680,742
9.62M",313.96M IP
,42,"Ondo
ONDO



Buy",$0.88,0.51%,4.76%,8.19%,"$2,778,105,742","$179,456,945
203.31M",3.15B ONDO
,43,"Worldcoin
WLD



Buy",$1.19,0.17%,7.00%,12.19%,"$2,602,314,063","$263,795,991
219.60M",2.18B WLD
,44,"World Liberty Financial USD
USD1



Buy",$1.00,0.02%,0.01%,0.03%,"$2,623,012,472","$443,495,755
443.58M",2.62B USD1
,45,"PayPal USD
PYUSD



Buy",$1.00,0.02%,0.03%,0.00%,"$2,542,686,280","$97,872,010
97.88M",2.54B PYUSD
,46,"Polygon (prev. MATIC)
POL



Buy",$0.23,0.43%,3.93%,2.53%,"$2,462,200,563","$158,318,241
671.89M",10.51B POL
,47,"Internet Computer
ICP



Buy",$4.33,0.12%,4.20%,5.52%,"$2,335,963,124","$75,924,771
17.47M",538.58M ICP
,48,"Arbitrum
ARB



Buy",$0.42,0.19%,4.76%,8.76%,"$2,245,993,264","$213,653,656
513.34M",5.4B ARB
,49,"MemeCore
M



Buy",$2.06,1.35%,1.88%,0.81%,"$2,151,191,399","$17,315,763
8.40M",1.03B M
,50,"KuCoin Token
KCS



Buy",$15.59,0.12%,1.85%,0.38%,"$2,024,141,886","$7,781,047
499.50K",129.77M KCS
,51,"Kaspa
KAS



Buy",$0.07,0.31%,3.08%,9.74%,"$1,977,437,012","$56,176,498
759.74M",26.79B KAS
,52,"Pump.fun
PUMP



Buy",$0.01,1.10%,11.86%,22.82%,"$1,940,797,511","$405,565,474
74.72B",354B PUMP
,53,"Algorand
ALGO



Buy",$0.22,0.11%,3.58%,4.26%,"$1,915,589,675","$77,749,146
356.79M",8.8B ALGO
,54,"Cosmos
ATOM



Buy",$4.04,0.07%,3.00%,5.95%,"$1,908,797,300","$121,757,147
30.06M",472.08M ATOM
,55,"Pudgy Penguins
PENGU



Buy",$0.03,0.25%,8.41%,4.96%,"$1,895,917,360","$440,726,652
14.55B",62.86B PENGU
,56,"VeChain
VET



Buy",$0.02,0.05%,3.81%,7.21%,"$1,892,867,422","$40,084,501
1.81B",85.98B VET
,57,"Pi
PI



Buy",$0.23,0.67%,6.43%,14.67%,"$1,880,082,984","$33,779,809
147.75M",8.24B PI
,58,"Sei
SEI



Buy",$0.28,0.39%,3.90%,7.55%,"$1,702,359,042","$130,321,742
468.42M",6.12B SEI
,59,"Flare
FLR



Buy",$0.02,1.10%,5.19%,14.85%,"$1,685,470,752","$10,261,900
458.36M",76.03B FLR
,60,"Render
RENDER



Buy",$3.25,0.18%,3.73%,10.93%,"$1,686,029,006","$84,352,772
25.85M",518.58M RENDER
,61,"Filecoin
FIL



Buy",$2.26,0.01%,4.74%,5.08%,"$1,590,517,211","$219,392,868
96.57M",701.31M FIL
,62,"Sky
SKY



Buy",$0.07,0.07%,2.66%,4.85%,"$1,564,544,970","$19,780,351
295.64M",23.4B SKY
,63,"Bonk
BONK



Buy",$0.00,0.12%,6.17%,9.27%,"$1,543,674,121","$271,893,483
14.30T",81.48T BONK
,64,"OFFICIAL TRUMP
TRUMP



Buy",$7.49,0.18%,2.11%,3.58%,"$1,499,663,489","$433,351,138
57.74M",199.99M TRUMP
,65,"Jupiter
JUP



Buy",$0.43,0.07%,5.41%,9.31%,"$1,355,600,894","$39,916,703
92.95M",3.16B JUP
,66,"Plasma
XPL



Buy",$0.75,1.77%,14.95%,21.17%,"$1,345,427,747","$4,745,080,015
6.30B",1.8B XPL
,67,"Immutable
IMX



Buy",$0.68,0.21%,5.89%,4.77%,"$1,342,567,388","$42,278,867
61.76M",1.96B IMX
,68,"SPX6900
SPX



Buy",$1.42,0.40%,8.44%,13.38%,"$1,327,793,101","$63,557,655
44.15M",930.99M SPX
,69,"GateToken
GT



Buy",$16.13,0.01%,4.28%,1.37%,"$1,328,894,987","$19,736,220
1.22M",82.37M GT
,70,"DoubleZero
2Z



Buy",$0.37,2.34%,8.47%,41.42%,"$1,291,144,879","$1,221,504,050
3.27B",3.47B 2Z
,71,"XDC Network
XDC



Buy",$0.07,0.10%,1.63%,4.58%,"$1,287,851,116","$38,895,726
536.07M",17.74B XDC
,72,"PancakeSwap
CAKE



Buy",$3.71,0.38%,11.89%,23.52%,"$1,279,118,737","$635,333,395
169.97M",344.06M CAKE
,73,"Optimism
OP



Buy",$0.70,0.10%,5.09%,6.65%,"$1,241,524,352","$167,263,331
239.15M",1.77B OP
,74,"Quant
QNT



Buy",$100.75,0.03%,1.87%,6.05%,"$1,216,338,903","$22,947,179
227.70K",12.07M QNT
,75,"PAX Gold
PAXG



Buy","$3,996.59",0.40%,1.40%,3.33%,"$1,209,545,815","$326,576,787
81.73K",302.64K PAXG
,76,"Injective
INJ



Buy",$12.04,0.27%,5.46%,6.43%,"$1,203,892,436","$93,115,800
7.70M",99.97M INJ
,77,"Artificial Superintelligence Alliance
FET



Buy",$0.49,1.32%,11.77%,18.58%,"$1,165,086,933","$166,387,021
333.08M",2.37B FET
,78,"Celestia
TIA



Buy",$1.43,0.26%,4.33%,5.05%,"$1,162,013,268","$74,333,572
51.57M",809.17M TIA
,79,"First Digital USD
FDUSD



Buy",$1.00,0.03%,0.01%,0.05%,"$1,084,041,337","$8,484,401,849
8.50B",1.08B FDUSD
,80,"Stacks
STX



Buy",$0.59,0.08%,4.95%,5.39%,"$1,064,320,969","$33,777,257
57.14M",1.8B STX
,81,"Lido DAO
LDO



Buy",$1.14,0.19%,5.10%,11.28%,"$1,024,864,760","$92,782,480
80.97M",895.8M LDO
,82,"Curve DAO Token
CRV



Buy",$0.73,0.10%,2.90%,3.80%,"$1,022,222,255","$174,314,352
237.64M",1.39B CRV
,83,"MYX Finance
MYX



Buy",$4.86,0.73%,14.78%,49.52%,"$1,002,771,422","$85,765,413
17.56M",206.1M MYX
,84,"Tether Gold
XAUt



Buy","$3,982.93",0.03%,1.51%,3.18%,"$981,889,138","$187,584,649
47.11K",246.52K XAUt
,85,"Aerodrome Finance
AERO



Buy",$1.06,0.55%,2.40%,10.77%,"$963,996,504","$65,870,479
61.83M",905.81M AERO
,86,"DeXe
DEXE



Buy",$11.07,0.59%,6.01%,14.31%,"$927,560,467","$22,613,907
2.03M",83.73M DEXE
,87,"Pyth Network
PYTH



Buy",$0.15,0.03%,4.72%,3.80%,"$890,738,298","$61,588,415
396.54M",5.74B PYTH
,88,"FLOKI
FLOKI



Buy",$0.00,0.29%,7.55%,4.50%,"$883,323,759","$120,123,398
1.29T",9.53T FLOKI
,89,"Kaia
KAIA



Buy",$0.14,0.23%,2.38%,11.05%,"$852,151,352","$36,087,411
259.07M",6.13B KAIA
,90,"The Graph
GRT



Buy",$0.08,0.08%,3.66%,8.25%,"$850,775,067","$39,795,324
491.55M",10.52B GRT
,91,"ether.fi
ETHFI



Buy",$1.62,0.49%,6.97%,9.82%,"$836,590,466","$92,774,456
56.83M",516M ETHFI
,92,"Nexo
NEXO



Buy",$1.26,0.05%,1.25%,0.60%,"$814,756,635","$9,883,311
7.83M",646.14M NEXO
,93,"Ripple USD
RLUSD



Buy",$1.00,0.01%,0.01%,0.01%,"$789,536,007","$84,939,112
84.96M",789.69M RLUSD
,94,"Sonic
S



Buy",$0.27,0.08%,4.80%,3.63%,"$781,225,681","$118,651,807
436.55M",2.88B S
,95,"Ethereum Name Service
ENS



Buy",$20.52,0.24%,4.43%,5.71%,"$767,785,604","$79,242,697
3.84M",37.41M ENS
,96,"Pendle
PENDLE



Buy",$4.48,0.11%,5.96%,11.85%,"$762,533,005","$119,241,593
26.63M",169.98M PENDLE
,97,"IOTA
IOTA



Buy",$0.18,0.27%,4.45%,2.02%,"$731,344,053","$23,112,402
128.38M",4.07B IOTA
,98,"Conflux
CFX



Buy",$0.14,0.00%,6.31%,8.01%,"$717,767,955","$43,933,777
314.47M",5.14B CFX
,99,"Raydium
RAY



Buy",$2.67,0.15%,6.25%,11.65%,"$717,013,161","$48,956,156
18.28M",268.12M RAY
,100,"Tezos
XTZ



Buy",$0.67,0.25%,2.75%,5.31%,"$712,339,887","$23,202,840
34.50M",1.06B XTZ
,101,"Gala
GALA



Buy",$0.02,0.15%,4.53%,6.23%,"$704,148,519","$85,492,503
5.59B",46.13B GALA
,102,"Theta Network
THETA



Buy",$0.70,0.00%,4.51%,4.87%,"$704,554,230","$27,891,006
39.58M",1B THETA
,103,"dogwifhat
WIF



Buy",$0.70,0.11%,5.01%,11.21%,"$703,365,703","$182,849,287
259.69M",998.83M WIF
,104,"Virtuals Protocol
VIRTUAL



Buy",$1.05,0.25%,5.94%,9.00%,"$691,618,323","$93,255,251
88.44M",655.62M VIRTUAL
,105,"EigenLayer
EIGEN



Buy",$1.79,0.32%,5.32%,0.09%,"$691,494,183","$109,542,599
61.07M",385.02M EIGEN
,106,"The Sandbox
SAND



Buy",$0.26,0.03%,3.96%,7.92%,"$688,270,489","$60,640,813
229.99M",2.61B SAND
,107,"AB
AB



Buy",$0.01,0.06%,0.40%,0.18%,"$673,985,499","$77,019,147
9.27B",81.15B AB
,108,"Starknet
STRK



Buy",$0.16,0.62%,4.79%,0.61%,"$671,745,157","$57,640,625
370.51M",4.31B STRK
,109,"Aethir
ATH



Buy",$0.05,0.11%,1.53%,4.34%,"$656,039,848","$51,904,013
967.29M",12.21B ATH
,110,"Trust Wallet Token
TWT



Buy",$1.52,3.25%,2.77%,15.10%,"$653,834,623","$125,807,927
83.08M",429.86M TWT
,111,"Fartcoin
FARTCOIN



Buy",$0.63,0.08%,5.43%,5.81%,"$632,260,154","$168,688,145
266.74M",999.99M FARTCOIN
,112,"Decentraland
MANA



Buy",$0.32,0.23%,3.51%,4.22%,"$622,907,462","$38,805,299
122.67M",1.96B MANA
,113,"Vaulta
A



Buy",$0.38,0.08%,4.52%,8.93%,"$611,929,289","$51,416,502
134.05M",1.59B A
,114,"JasmyCoin
JASMY



Buy",$0.01,0.28%,4.08%,7.49%,"$608,447,755","$36,666,148
2.97B",49.44B JASMY
,115,"LayerZero
ZRO



Buy",$2.27,0.42%,6.02%,0.28%,"$602,107,662","$71,093,735
31.26M",264.68M ZRO
,116,"Jito
JTO



Buy",$1.55,0.06%,4.74%,7.71%,"$600,413,375","$28,299,751
18.23M",386.84M JTO
,117,"BitTorrent [New]
BTT



Buy",$0.07,0.08%,1.67%,4.65%,"$578,537,821","$16,150,643
27.52T",986.06T BTT
,118,"Flow
FLOW



Buy",$0.36,0.14%,4.16%,6.30%,"$573,459,728","$16,124,854
45.39M",1.61B FLOW
,119,"Morpho
MORPHO



Buy",$1.68,0.16%,6.64%,12.93%,"$571,685,921","$34,152,990
20.24M",338.8M MORPHO
,120,"DeepBook Protocol
DEEP



Buy",$0.13,0.43%,4.47%,6.81%,"$552,524,364","$25,640,388
196.31M",4.23B DEEP
,121,"Walrus
WAL



Buy",$0.37,0.04%,7.48%,9.49%,"$551,073,148","$26,013,660
69.81M",1.47B WAL
,122,"0G
0G



Buy",$2.55,0.35%,8.77%,4.70%,"$545,097,239","$75,104,415
29.38M",213.24M 0G
,123,"Wormhole
W



Buy",$0.11,0.47%,6.82%,2.32%,"$527,350,299","$71,690,225
646.27M",4.75B W
,124,"TrueUSD
TUSD



Buy",$1.00,0.03%,0.01%,0.06%,"$493,944,656","$47,307,630
47.36M",494.51M TUSD
,125,"Bitcoin SV
BSV



Buy",$24.72,0.28%,4.45%,12.60%,"$492,778,639","$49,676,775
2.00M",19.93M BSV
,126,"Sun [New]
SUN



Buy",$0.03,0.28%,6.24%,1.15%,"$492,613,182","$78,710,806
3.06B",19.16B SUN
,127,"Helium
HNT



Buy",$2.58,1.17%,3.27%,3.12%,"$481,636,270","$25,069,281
9.69M",186.32M HNT
,128,"USDD
USDD



Buy",$1.00,0.02%,0.00%,0.03%,"$475,184,493","$4,634,221
4.63M",474.98M USDD
,129,"Maple Finance
SYRUP



Buy",$0.39,0.11%,4.26%,4.52%,"$468,264,080","$24,617,505
62.89M",1.19B SYRUP
,130,"Four
FORM



Buy",$1.21,2.01%,13.36%,2.46%,"$464,709,349","$724,847,439
595.63M",381.86M FORM
,131,"Zebec Network
ZBCN



Buy",$0.01,1.45%,9.93%,24.80%,"$463,816,670","$27,989,016
5.57B",92.33B ZBCN
,132,"dYdX
DYDX



Buy",$0.57,0.21%,6.40%,10.87%,"$445,661,363","$18,492,428
32.65M",786.92M DYDX
,133,"ZKsync
ZK



Buy",$0.05,0.02%,4.32%,5.18%,"$437,305,764","$28,266,228
521.45M",8.06B ZK
,134,"Dash
DASH



Buy",$34.69,7.77%,7.73%,7.23%,"$431,625,465","$139,366,421
4.02M",12.44M DASH
,135,"APENFT
NFT



Buy",$0.06,0.27%,1.17%,0.40%,"$430,252,650","$21,501,281
49.96T",999.99T NFT
,136,"Neo
NEO



Buy",$6.06,0.21%,3.83%,4.04%,"$427,508,153","$33,253,931
5.48M",70.53M NEO
,137,"Beam
BEAM



Buy",$0.01,0.25%,6.61%,4.13%,"$426,513,057","$21,418,638
2.48B",49.46B BEAM
,138,"Brett (Based)
BRETT



Buy",$0.04,0.41%,6.40%,9.04%,"$420,727,421","$50,656,304
1.19B",9.91B BRETT
,139,"ApeCoin
APE



Buy",$0.56,0.07%,4.31%,1.66%,"$419,159,155","$27,844,085
49.99M",752.65M APE
,140,"Toshi
TOSHI



Buy",$0.00,0.48%,3.22%,19.63%,"$412,031,060","$161,813,774
165.04B",420.67B TOSHI
,141,"Chiliz
CHZ



Buy",$0.04,0.22%,4.02%,10.15%,"$411,906,102","$38,687,312
942.62M",10.03B CHZ
,142,"THORChain
RUNE



Buy",$1.15,0.00%,2.15%,5.39%,"$404,884,926","$37,048,330
32.14M",351.27M RUNE
,143,"Compound
COMP



Buy",$41.68,0.08%,2.80%,5.27%,"$404,080,756","$19,486,080
467.22K",9.69M COMP
,144,"Synthetix
SNX



Buy",$1.17,0.89%,5.77%,5.05%,"$404,989,574","$52,826,655
45.12M",343.46M SNX
,145,"Linea
LINEA



Buy",$0.03,0.64%,4.23%,3.93%,"$392,073,141","$132,159,245
5.21B",15.48B LINEA
,146,"Gnosis
GNO



Buy",$144.19,0.09%,4.74%,6.12%,"$380,563,239","$5,167,394
35.83K",2.63M GNO
,147,"Core
CORE



Buy",$0.37,0.07%,3.41%,8.18%,"$378,557,532","$15,133,965
40.53M",1.01B CORE
,148,"MultiversX
EGLD



Buy",$13.16,0.76%,2.56%,7.14%,"$377,590,795","$22,327,315
1.69M",28.68M EGLD
,149,"Useless Coin
USELESS



Buy",$0.38,3.97%,6.11%,65.56%,"$378,313,447","$149,536,979
398.02M",999.09M USELESS
,150,"Arweave
AR



Buy",$5.68,0.10%,5.35%,6.80%,"$373,286,954","$39,297,431
6.90M",65.65M AR
,151,"Onyxcoin
XCN



Buy",$0.01,0.21%,5.44%,10.78%,"$366,227,363","$14,683,726
1.41B",35.28B XCN
,152,"Axie Infinity
AXS



Buy",$2.19,0.52%,0.44%,3.94%,"$365,613,301","$55,155,343
25.12M",166.48M AXS
,153,"Cheems (cheems.pet)
CHEEMS



Buy",$0.05,0.43%,8.42%,70.27%,"$358,708,236","$89,064,466
46.40T",187.49T CHEEMS
,154,"Kava
KAVA



Buy",$0.33,0.19%,1.07%,0.52%,"$358,174,768","$16,170,281
48.87M",1.08B KAVA
,155,"ZORA
ZORA



Buy",$0.08,2.24%,42.92%,37.40%,"$359,626,974","$306,164,793
3.82B",4.46B ZORA
,156,"Reserve Rights
RSR



Buy",$0.01,0.29%,3.49%,13.28%,"$355,536,408","$18,041,144
3.06B",60.45B RSR
,157,"eCash
XEC



Buy",$0.00,0.06%,1.87%,4.68%,"$354,944,530","$7,749,247
435.11B",19.93T XEC
,158,"SuperVerse
SUPER



Buy",$0.56,0.19%,4.71%,12.98%,"$352,659,333","$14,038,286
25.01M",628.41M SUPER
,159,"1inch
1INCH



Buy",$0.25,0.12%,4.22%,6.45%,"$349,212,316","$22,037,034
88.20M",1.39B 1INCH
,160,"Berachain
BERA



Buy",$2.69,0.14%,3.16%,4.46%,"$345,725,539","$57,908,210
21.48M",128.27M BERA
,161,"Falcon Finance
FF



Buy",$0.14,0.29%,11.81%,21.71%,"$335,656,121","$218,863,131
1.52B",2.34B FF
,162,"Merlin Chain
MERL



Buy",$0.34,0.30%,4.29%,12.84%,"$335,087,680","$50,348,092
147.23M",978.95M MERL
,163,"AIOZ Network
AIOZ



Buy",$0.27,0.71%,6.39%,8.73%,"$322,759,925","$11,854,607
44.41M",1.2B AIOZ
,164,"Ronin
RON



Buy",$0.46,0.23%,3.82%,5.08%,"$321,374,435","$5,109,571
11.02M",693.12M RON
,165,"JUST
JST



Buy",$0.03,0.01%,2.17%,0.94%,"$320,982,606","$26,499,636
817.37M",9.9B JST
,166,"KAITO
KAITO



Buy",$1.29,0.15%,3.93%,8.96%,"$312,590,284","$64,788,391
50.05M",241.38M KAITO
,167,"Convex Finance
CVX



Buy",$3.21,0.26%,8.65%,8.12%,"$312,264,461","$13,168,489
4.09M",97.15M CVX
,168,"Decred
DCR



Buy",$18.01,0.24%,0.30%,5.72%,"$307,377,367","$3,297,279
183.04K",17.05M DCR
,169,"Plume
PLUME



Buy",$0.10,0.10%,7.24%,1.86%,"$306,350,100","$48,565,690
480.55M",3.03B PLUME
,170,"Axelar
AXL



Buy",$0.29,0.35%,3.91%,4.00%,"$304,341,214","$11,178,343
38.57M",1.04B AXL
,171,"Movement
MOVE



Buy",$0.11,0.04%,2.70%,6.48%,"$298,070,862","$24,042,226
221.71M",2.75B MOVE
,172,"Moca Network
MOCA



Buy",$0.07,0.07%,0.86%,1.83%,"$295,707,430","$16,919,634
226.25M",3.95B MOCA
,173,"Terra Classic
LUNC



Buy",$0.00,0.21%,2.95%,6.80%,"$294,608,774","$10,900,233
204.01B",5.5T LUNC
,174,"Drift
DRIFT



Buy",$0.77,0.35%,8.94%,14.07%,"$293,485,275","$27,814,344
36.05M",380.55M DRIFT
,175,"Snek
SNEK



Buy",$0.00,0.13%,3.37%,6.36%,"$292,946,373","$5,811,299
1.48B",74.67B SNEK
,176,"WEMIX
WEMIX



Buy",$0.64,0.88%,6.37%,8.34%,"$291,113,994","$3,038,680
4.76M",456.77M WEMIX
,177,"FTX Token
FTT



Buy",$0.86,0.03%,3.70%,8.68%,"$282,794,977","$7,670,748
8.92M",328.89M FTT
,178,"Livepeer
LPT



Buy",$6.20,0.06%,3.81%,5.77%,"$281,180,637","$16,909,920
2.72M",45.29M LPT
,179,"Mog Coin
MOG



Buy",$0.07,0.03%,9.86%,16.39%,"$276,021,428","$17,027,927
24.10T",390.56T MOG
,180,"Akash Network
AKT



Buy",$0.98,0.16%,3.70%,6.64%,"$275,517,984","$9,046,825
9.19M",280M AKT
,181,"Creditcoin
CTC



Buy",$0.55,0.01%,3.35%,8.36%,"$268,373,727","$8,495,897
15.55M",491.41M CTC
,182,"EURC
EURC



Buy",$1.15,0.03%,0.59%,1.32%,"$259,818,804","$92,122,420
79.69M",224.72M EURC
,183,"Basic Attention Token
BAT



Buy",$0.17,1.11%,11.81%,9.94%,"$254,859,570","$91,753,261
540.53M",1.49B BAT
,184,"SafePal
SFP



Buy",$0.51,0.20%,6.66%,3.50%,"$252,703,988","$10,323,346
20.42M",500M SFP
,185,"Amp
AMP



Buy",$0.00,0.29%,2.35%,6.95%,"$252,538,548","$13,742,648
4.58B",84.28B AMP
,186,"Qtum
QTUM



Buy",$2.38,0.60%,0.44%,4.28%,"$252,389,474","$131,085,575
54.97M",105.84M QTUM
,187,"Kusama
KSM



Buy",$14.61,0.10%,2.98%,5.25%,"$250,585,971","$18,362,968
1.25M",17.14M KSM
,188,"BUILDon
B



Buy",$0.25,0.68%,2.84%,16.85%,"$248,044,216","$33,138,356
133.85M",1B B
,189,"OriginTrail
TRAC



Buy",$0.49,0.40%,2.80%,16.76%,"$245,665,813","$6,746,660
13.71M",499.99M TRAC
,190,"MX Token
MX



Buy",$2.62,0.07%,2.49%,0.77%,"$245,308,744","$21,471,343
8.18M",93.47M MX
,191,"Turbo
TURBO



Buy",$0.00,0.14%,4.65%,8.81%,"$243,348,618","$27,427,727
7.77B",69B TURBO
,192,"Safe
SAFE



Buy",$0.36,0.17%,3.93%,6.53%,"$230,996,596","$10,031,909
28.09M",647.15M SAFE
,193,"cat in a dogs world
MEW



Buy",$0.00,0.04%,6.26%,9.36%,"$229,544,689","$29,179,962
11.29B",88.88B MEW
,194,"IoTeX
IOTX



Buy",$0.02,0.17%,1.29%,0.51%,"$222,809,277","$6,819,637
288.65M",9.44B IOTX
,195,"Theta Fuel
TFUEL



Buy",$0.03,0.05%,3.28%,4.76%,"$218,735,079","$2,216,032
71.85M",7.09B TFUEL
,196,"Popcat (SOL)
POPCAT



Buy",$0.22,0.20%,7.48%,7.22%,"$217,975,918","$31,262,344
140.60M",979.97M POPCAT
,197,"Golem
GLM



Buy",$0.22,0.09%,2.24%,4.72%,"$217,031,135","$7,496,060
34.51M",1B GLM
,198,"Baby Doge Coin
BabyDoge



Buy",$0.08,0.07%,5.93%,4.15%,"$215,489,093","$16,969,181
13.38P",169.96P BabyDoge
,199,"Kamino Finance
KMNO



Buy",$0.07,0.11%,7.00%,6.16%,"$212,880,600","$21,433,386
298.85M",2.97B KMNO
,200,"Dog (Bitcoin)
DOG



Buy",$0.00,0.02%,6.45%,18.23%,"$212,079,345","$9,327,740
4.39B",100B DOG
,201,"Jupiter Perps LP
JLP



Buy",$5.76,0.06%,1.82%,2.02%,"$2,375,843,741","$33,243,658
5.76M",411.92M JLP
,202,"Falcon USD
USDf



Buy",$1.00,0.04%,0.13%,0.36%,"$1,417,916,509","$8,842,403
8.88M",1.42B USDf
,203,"ChainOpera AI
COAI



Buy",$5.76,1.08%,11.94%,1645.15%,"$1,132,226,976","$206,365,391
35.84M",196.47M COAI
,204,"Fasttoken
FTN



Buy",$2.01,0.01%,14.46%,0.17%,"$878,923,172","$28,427,125
14.11M",436.26M FTN
